time,direction,entry_price,result,profit_U,bars_since_last_flip,range_position,distance_to_range_high_ATR,distance_to_range_low_ATR,body_ATR,upper_wick_ratio,lower_wick_ratio,candle_range_ATR,mom12_ATR,current_bar_contribution,volume_ratio,ADX14,ATR_percent,future_max_profit,future_max_drawdown,bars_to_max_profit,bars_to_max_drawdown
2025-05-12 14:00,sell,102760.5,loss,-15.2,140,0.073,3.92,0.31,1.95,0.04,0.16,2.33,-1.4,1.39,3.07,26.8,0.76,2.63,2.09,4,26
2025-05-13 17:00,buy,104220.0,loss,-19.13,27,0.686,2.38,5.18,0.8,0.11,0.02,0.9,2.65,0.3,0.72,14.6,0.65,1.11,2.85,2,36
2025-05-15 05:00,sell,102330.1,loss,-15.43,36,0.019,5.57,0.11,1.11,0.05,0.09,1.28,-1.88,0.59,1.16,24.2,0.46,2.12,3.12,9,11
2025-05-15 16:00,buy,103807.0,win,-0.72,11,0.68,1.59,3.38,0.81,0.01,0.39,1.13,1.29,0.63,1.76,29.2,0.71,2.94,1.77,72,3
2025-05-18 19:00,sell,103835.7,loss,-21.01,75,0.374,3.45,2.06,1.01,0.4,0.05,1.47,-0.09,11.47,1.29,29.5,0.6,1.01,3.43,1,3
2025-05-18 22:00,buy,105913.6,loss,-28.9,3,0.983,0.07,4.26,2.26,0.02,0.12,2.59,2.64,0.85,2.12,26.4,0.74,1.57,4.06,2,6
2025-05-19 04:00,sell,102959.0,loss,-18.4,6,0.081,4.54,0.4,0.66,0.25,0.4,1.09,-3.07,0.21,1.91,25.8,0.9,1.01,2.14,2,11
2025-05-19 15:00,buy,104750.5,win,40.08,11,0.532,2.93,3.33,0.58,0.38,0.13,0.87,1.45,0.4,1.25,19.2,0.78,8.84,0.75,74,22
2025-05-23 11:00,sell,109053.3,loss,-1.54,92,0.505,4.17,4.25,2.78,0.02,0.12,3.17,-3.69,0.76,3.97,21.9,0.65,3.58,1.27,52,3
2025-05-25 22:00,buy,109112.0,loss,-7.91,59,0.884,0.51,3.9,2.54,0.03,0.07,2.82,3.33,0.76,2.71,29.2,0.61,1.94,2.48,18,27
2025-05-27 01:00,sell,108358.3,win,31.63,27,0.473,2.97,2.67,1.1,0.0,1.18,2.4,-1.75,0.63,3.72,25.0,0.63,7.79,3.45,97,12
2025-05-31 21:00,buy,104822.9,loss,-5.67,116,0.53,4.14,4.66,0.21,0.47,1.97,0.73,3.42,0.06,0.72,28.2,0.37,2.74,2.88,35,12
2025-06-02 10:00,sell,104333.0,loss,-13.54,37,0.41,3.32,2.31,0.45,0.43,0.58,0.9,-2.42,0.18,1.57,13.6,0.45,1.54,3.06,4,12
2025-06-02 22:00,buy,105641.2,loss,-9.73,12,0.894,0.42,3.54,1.31,0.15,0.01,1.53,2.28,0.58,1.44,13.5,0.54,1.95,1.71,17,39
2025-06-04 13:00,sell,104719.0,win,7.1,39,0.352,4.63,2.51,0.64,0.82,0.21,1.3,-1.87,0.34,1.85,9.8,0.42,9.98,2.61,31,24
2025-06-06 11:00,buy,103870.3,win,13.02,46,0.639,3.9,6.91,0.48,0.32,0.14,0.7,4.72,0.1,0.6,26.1,0.49,5.04,0.84,58,1
2025-06-09 05:00,sell,105326.1,loss,-12.71,66,0.382,3.52,2.18,0.21,1.25,0.68,0.62,-2.22,0.1,0.62,23.2,0.3,0.17,4.86,1,4
2025-06-09 09:00,buy,106559.0,win,16.76,4,0.847,0.79,4.38,1.67,0.47,0.16,2.73,0.68,2.46,4.32,21.7,0.38,10.07,0.13,12,1
2025-06-11 21:00,sell,108451.4,win,21.52,60,0.083,3.49,0.32,0.76,0.76,0.36,1.6,-1.35,0.56,0.97,20.7,0.52,10.37,0.58,28,3
2025-06-13 23:00,buy,106009.0,loss,-13.32,50,0.548,4.35,5.28,0.48,0.43,0.0,0.68,1.61,0.3,0.48,22.4,0.6,0.25,2.76,1,21
2025-06-15 20:00,sell,104702.7,loss,-12.08,45,0.234,3.68,1.12,1.35,0.03,0.28,1.77,-1.15,1.17,1.34,15.1,0.38,0.7,3.07,1,6
2025-06-16 03:00,buy,105862.4,win,7.52,7,0.88,0.5,3.68,0.3,0.41,0.68,0.62,0.78,0.38,0.58,11.6,0.41,7.12,0.11,19,1
2025-06-16 23:00,sell,106764.6,win,8.4,20,0.514,3.19,3.38,1.27,0.34,0.11,1.85,-0.12,10.73,1.75,31.8,0.65,5.0,1.38,18,4
2025-06-20 07:00,buy,105760.9,loss,-18.79,80,1.0,0.0,5.28,2.45,0.0,0.07,2.62,3.52,0.69,3.68,11.9,0.42,1.62,4.37,1,7
2025-06-20 14:00,sell,103879.9,win,19.91,7,0.151,4.35,0.77,2.91,0.08,0.03,3.23,-1.18,2.47,4.81,23.5,0.58,9.6,1.17,54,1
2025-06-23 05:00,buy,101707.6,win,55.85,63,0.614,2.96,4.71,0.76,0.17,0.0,0.89,3.01,0.25,0.58,30.2,0.75,8.93,2.82,151,11
2025-06-29 16:00,sell,107490.1,loss,-8.62,155,0.522,3.15,3.44,0.65,0.26,1.19,1.58,0.85,-0.76,2.0,25.5,0.29,0.98,2.84,5,7
2025-06-29 23:00,buy,108308.8,loss,-15.26,7,0.898,0.5,4.36,0.76,0.29,0.28,1.19,-0.33,-2.29,1.5,23.0,0.33,1.27,4.46,1,15
2025-06-30 14:00,sell,106764.8,loss,-2.79,15,0.031,4.99,0.16,1.76,0.18,0.09,2.24,-4.16,0.42,3.42,20.4,0.38,4.28,2.48,35,2
2025-07-02 06:00,buy,106956.1,win,8.11,40,0.664,2.2,4.35,0.89,0.0,0.0,0.89,2.89,0.31,1.35,27.4,0.41,8.09,0.42,31,1
2025-07-04 13:00,sell,107930.1,loss,-8.43,55,0.111,6.17,0.77,1.82,0.17,0.01,2.15,-3.66,0.5,3.63,19.9,0.39,1.73,2.81,6,48
2025-07-06 13:00,buy,108732.1,loss,-6.23,48,0.806,1.38,5.73,2.05,0.68,0.09,3.62,2.2,0.93,7.02,14.4,0.24,3.56,3.13,8,25
2025-07-07 14:00,sell,108162.9,loss,-7.86,25,0.218,3.81,1.06,0.79,0.43,0.84,1.78,-2.88,0.27,2.06,20.0,0.37,2.01,1.98,12,21
2025-07-08 12:00,buy,108904.9,win,100.09,22,0.666,2.25,4.48,0.6,0.05,0.33,0.82,1.91,0.31,0.7,21.8,0.32,41.81,2.51,139,4
2025-07-14 15:00,sell,119913.7,win,4.83,147,0.467,3.83,3.35,1.47,0.01,0.21,1.79,-1.01,1.46,1.98,45.7,0.74,4.72,0.73,23,2
2025-07-16 09:00,buy,119214.9,loss,-12.12,42,0.539,4.46,5.21,0.74,0.04,0.02,0.78,2.46,0.3,1.07,17.4,0.56,2.73,2.84,36,53
2025-07-18 15:00,sell,117888.7,loss,-12.55,54,0.152,3.58,0.64,0.34,0.46,1.31,0.94,-2.7,0.12,1.31,17.7,0.74,1.59,1.64,55,63
2025-07-21 06:00,buy,119250.0,loss,-17.99,63,0.973,0.13,4.72,1.32,0.1,0.2,1.71,1.42,0.93,1.86,21.7,0.49,0.9,3.62,1,12
2025-07-21 18:00,sell,117223.7,loss,-19.29,12,0.223,3.27,0.94,0.9,0.52,0.13,1.48,-2.6,0.34,0.92,15.7,0.67,1.39,2.92,7,18
2025-07-22 12:00,buy,119368.1,loss,-17.44,18,0.888,0.58,4.59,0.2,0.96,0.76,0.53,3.13,0.06,1.05,20.2,0.59,1.47,2.9,6,25
2025-07-23 13:00,sell,117406.1,loss,-2.9,25,0.297,4.87,2.06,0.97,0.42,0.13,1.5,-3.51,0.28,2.65,21.1,0.52,4.4,3.51,42,26
2025-07-25 23:00,buy,117629.2,win,2.28,58,0.602,2.92,4.4,0.47,0.1,0.34,0.68,1.63,0.29,0.44,29.4,0.57,3.37,0.69,51,2
2025-07-28 14:00,sell,118015.4,loss,-6.65,63,0.099,3.74,0.41,0.91,0.59,0.21,1.63,-2.98,0.31,2.66,29.2,0.42,4.63,2.65,53,17
2025-07-31 06:00,buy,118682.6,loss,-17.37,64,0.821,1.28,5.87,0.66,0.15,0.32,0.96,4.33,0.15,0.52,15.1,0.43,0.49,3.9,1,13
