idx,date,type,entry,tp_rev,sl_rev,pnl_pct,result,bars,h4,box,brk_atr,brk_label,body_atr,mom12,kcontrib,vol_r,adx,adx_chg,struct_atr,mae,mfe
27,2026-05-01,buy,77087.3,78756.9,78756.9,2.17,止盈(反),80,空·反,箱体边缘,0.32,正常,1.41,1.79,0.78,3.17,17.9,4.0,1.25,0.76,4.55
28,2026-05-04,sell,78756.9,80526.7,80526.7,-2.25,止损(反),15,多,箱体边缘,0.22,正常,0.25,0.41,-0.62,0.59,34.0,-5.3,0.19,2.71,0.42
29,2026-05-05,buy,80526.7,80976.2,80976.2,0.56,止盈(反),46,多,突破上沿,0.2,正常,0.42,0.65,0.64,1.09,25.4,-1.3,0.13,0.34,2.82
30,2026-05-07,sell,80976.2,80580.0,80580.0,0.49,止盈(反),64,多,震荡中轴,0.35,正常,0.95,-2.74,0.35,0.59,14.9,-4.3,0.26,0.87,2.29
31,2026-05-09,buy,80580.0,80700.7,80700.7,0.15,止盈(反),35,多,突破上沿,0.01,正常,0.39,0.94,0.42,2.62,14.5,1.1,0.25,0.44,2.34
32,2026-05-11,sell,80700.7,80917.7,80917.7,-0.27,止损(反),83,多·回,箱体边缘,0.24,正常,0.85,-1.25,0.67,2.09,27.6,-6.2,0.31,1.73,2.45
33,2026-05-14,buy,80917.7,78709.5,78709.5,-2.73,止损(反),23,空·反,突破上沿,1.16,过度,2.5,3.15,0.79,4.38,26.2,-1.9,0.71,2.83,1.34
34,2026-05-15,sell,78709.5,77670.4,77670.4,1.32,止盈(反),127,空,突破下沿,2.32,过度,3.02,-4.37,0.69,5.58,19.2,-1.4,0.28,2.09,3.42
35,2026-05-20,buy,77670.4,76943.3,76943.3,-0.94,止损(反),18,空·反,突破上沿,0.01,正常,0.09,0.65,0.14,0.61,14.4,-2.8,0.41,1.26,0.63
36,2026-05-21,sell,76943.3,75816.0,75816.0,1.47,止盈(反),52,空,震荡中轴,0.18,正常,0.4,-2.51,0.16,1.43,17.2,3.0,0.22,1.45,3.57
37,2026-05-23,buy,75816.0,76111.5,76111.5,0.39,止盈(反),27,空,震荡中轴,0.63,正常,1.05,1.3,0.81,1.21,41.9,-12.9,1.85,0.52,2.26
38,2026-05-24,sell,76111.5,77427.4,77427.4,-1.73,止损(反),11,多·回,震荡中轴,0.37,过度,1.51,-2.57,0.59,1.76,27.4,-6.7,0.11,2.03,0.08
39,2026-05-25,buy,77427.4,76717.9,76717.9,-0.92,止损(反),17,多,突破上沿,0.05,正常,0.15,2.21,0.07,0.53,22.5,2.0,0.13,1.16,0.58
40,2026-05-26,sell,76717.9,74006.5,74006.5,3.53,止盈(反),87,多·回,震荡中轴,0.03,正常,0.1,-1.74,0.06,1.39,23.4,-3.2,1.69,1.76,5.58
41,2026-05-29,buy,74006.5,73494.4,73494.4,-0.69,止损(反),48,空,震荡中轴,0.08,正常,0.51,1.12,0.45,1.76,26.9,-1.2,0.17,1.18,0.4
42,2026-05-31,sell,73494.4,62372.1,62372.1,15.13,止盈(反),159,空,震荡中轴,0.15,正常,0.6,-3.01,0.2,1.89,15.6,3.9,1.16,0.92,19.62
43,2026-06-07,buy,62372.1,61513.6,61513.6,-1.38,止损(反),55,空,箱体边缘,0.55,正常,0.6,3.6,0.17,1.53,25.8,-3.3,0.74,2.0,3.26
44,2026-06-09,sell,61513.6,62598.8,62598.8,-1.76,止损(反),25,空,突破下沿,1.13,正常,1.38,-2.52,0.55,4.53,18.2,2.6,0.7,2.16,1.42
45,2026-06-10,buy,62598.8,63907.3,63907.3,2.09,止盈(反),97,空·反,震荡中轴,0.25,正常,0.71,1.77,0.4,2.51,26.4,-4.5,0.36,2.46,3.43
46,2026-06-14,sell,63907.3,65276.8,65276.8,-2.14,止损(反),5,多,震荡中轴,0.0,正常,0.32,-1.68,0.19,1.17,28.8,-6.5,0.38,2.77,0.41
47,2026-06-14,buy,65276.8,65713.0,65713.0,0.67,止盈(反),29,多,突破上沿,2.2,过度,3.39,1.81,1.87,5.92,27.6,-1.3,1.39,2.0,3.07
48,2026-06-16,sell,65713.0,65835.1,65835.1,-0.19,止损(反),38,多,震荡中轴,0.49,过度,1.6,-2.21,0.73,1.33,33.4,-10.4,0.64,1.92,1.82
49,2026-06-17,buy,65835.1,64278.2,64278.2,-2.36,止损(反),3,空·反,震荡中轴,0.2,正常,0.23,-0.04,-5.61,2.36,21.0,-1.2,0.45,2.78,0.9
50,2026-06-17,sell,64278.2,63547.9,63547.9,1.14,止盈(反),54,空,突破下沿,0.45,过度,1.79,-1.82,0.98,2.99,21.0,-1.1,0.35,2.11,3.2
51,2026-06-20,buy,63547.9,63278.9,63278.9,-0.42,止损(反),46,空,震荡中轴,0.07,正常,0.16,1.12,0.15,0.57,18.9,-1.1,0.48,0.63,1.59
52,2026-06-21,sell,63278.9,64570.1,64570.1,-2.04,止损(反),2,空,突破下沿,1.26,过度,1.57,-2.8,0.56,1.75,22.5,3.5,0.42,2.42,0.08
53,2026-06-22,buy,64570.1,63597.9,63597.9,-1.51,止损(反),27,空·反,突破上沿,0.34,过度,1.68,1.09,1.55,3.78,21.8,3.3,0.02,1.54,1.62
54,2026-06-23,sell,63597.9,61560.3,61560.3,3.2,止盈(反),49,空,突破下沿,0.84,正常,1.17,-2.89,0.4,0.99,13.4,-3.5,0.44,0.74,7.15
55,2026-06-25,buy,61560.3,58258.6,58258.6,-5.36,止损(反),8,空,震荡中轴,0.3,正常,0.48,4.27,0.11,1.07,24.6,-5.0,0.61,5.73,0.6
56,2026-06-25,sell,58258.6,60388.7,60388.7,-3.66,止损(反),100,空,突破下沿,2.93,过度,4.0,-3.57,1.12,5.9,20.3,-1.9,1.07,5.29,0.39
57,2026-06-29,buy,60388.7,58374.4,58374.4,-3.34,止损(反),19,空·反,突破上沿,0.02,正常,0.86,0.5,1.72,1.51,24.3,-4.8,0.1,3.4,0.45
58,2026-06-30,sell,58374.4,60123.2,60123.2,-3.0,止损(反),27,空,突破下沿,1.59,过度,2.11,-3.83,0.55,3.76,27.1,6.5,1.28,3.71,1.07
59,2026-07-01,buy,60123.2,62643.0,62643.0,4.19,止盈(反),114,空·反,突破上沿,1.0,正常,1.12,1.76,0.63,2.47,29.1,-2.7,1.27,1.04,6.42
60,2026-07-06,sell,62643.0,63519.9,63519.9,-1.4,止损(反),6,多,突破下沿,0.27,正常,0.71,-1.31,0.54,1.32,20.3,-7.1,0.23,1.41,2.17
61,2026-07-06,buy,63519.9,62741.0,62741.0,-1.23,止损(反),36,多,突破上沿,1.06,过度,2.68,0.43,6.28,2.87,20.8,1.8,0.78,2.36,1.9
62,2026-07-08,sell,62741.0,63110.9,63110.9,-0.59,止损(反),38,多·回,震荡中轴,0.13,正常,0.44,-2.4,0.19,0.53,16.5,4.9,0.05,0.86,1.95
63,2026-07-09,buy,63110.9,63780.1,63780.1,1.06,止盈(反),54,多,震荡中轴,0.2,正常,1.01,1.25,0.81,0.78,23.7,-0.7,0.39,0.75,2.48
64,2026-07-11,sell,63780.1,63940.2,63940.2,-0.25,止损(反),61,多,震荡中轴,0.18,过度,1.77,-1.78,1.0,3.13,21.0,-2.8,0.37,0.97,3.1
65,2026-07-14,buy,63940.2,64210.1,64210.1,0.42,止盈(反),43,多,突破上沿,2.21,过度,2.99,3.74,0.8,6.4,20.7,-2.9,1.21,1.86,2.58
66,2026-07-16,sell,64210.1,64018.1,64018.1,0.3,止盈(反),34,多,震荡中轴,0.05,过度,1.55,-2.14,0.72,1.72,19.7,-3.2,0.45,1.03,2.65
67,2026-07-17,buy,64018.1,64098.8,64098.8,0.13,止盈(反),60,空·反,震荡中轴,0.63,正常,1.12,2.95,0.38,1.67,27.5,-2.5,0.47,0.71,1.67
68,2026-07-20,sell,64098.8,64970.8,64970.8,-1.36,止损(反),6,空,突破下沿,0.57,正常,1.25,-1.29,0.97,3.38,28.6,2.7,0.42,1.48,0.59
69,2026-07-20,buy,64970.8,65606.7,65606.7,0.98,止盈(反),49,空·反,突破上沿,0.25,过度,1.77,0.69,2.57,2.28,24.3,-3.9,0.07,1.43,3.01
70,2026-07-22,sell,65606.7,64477.4,64477.4,1.72,止盈(反),84,多,震荡中轴,0.49,正常,1.32,-3.38,0.39,2.27,19.7,-4.6,0.56,1.2,2.91
71,2026-07-26,buy,64477.4,64660.1,64660.1,0.28,止盈(反),38,空,震荡中轴,0.59,正常,1.03,3.06,0.34,1.0,18.8,-6.5,0.38,0.34,1.96
72,2026-07-27,sell,64660.1,64400.3,64400.3,0.4,止盈(反),40,空,震荡中轴,0.45,正常,1.4,-1.3,1.08,3.32,31.4,-5.6,0.16,1.14,3.03
73,2026-07-29,buy,64400.3,63483.2,63483.2,-1.42,止损(反),14,空·反,震荡中轴,0.76,正常,1.06,2.0,0.53,1.58,21.1,-4.2,0.05,1.65,0.53
74,2026-07-29,sell,63483.2,63419.5,63419.5,0.1,止盈(反),78,空,震荡中轴,0.12,正常,0.14,-1.78,0.08,0.93,13.1,-2.3,0.08,3.0,1.98
75,2026-08-02,buy,63419.5,62838.6,62838.6,-0.92,止损(反),25,空,震荡中轴,1.71,过度,2.05,1.42,1.44,4.58,23.3,-1.0,1.31,1.07,0.57
76,2026-08-03,sell,62838.6,63321.8,63321.8,-0.77,止损(反),10,空,震荡中轴,0.64,正常,1.06,-0.94,1.12,1.95,17.8,-2.0,0.38,0.84,0.91
77,2026-08-03,buy,63321.8,64753.8,64753.8,2.26,止盈(反),134,空·反,箱体边缘,0.42,过度,2.0,0.42,4.81,3.48,21.6,0.4,0.91,1.26,3.22
78,2026-08-09,sell,64753.8,65188.7,65188.7,-0.67,止损(反),10,多,震荡中轴,0.03,正常,0.37,-3.02,0.12,2.01,19.2,-1.7,1.32,0.75,0.11
79,2026-08-09,buy,65188.7,64870.1,64870.1,-0.49,止损(反),10,多,突破上沿,1.66,过度,2.56,3.35,0.76,3.96,18.4,0.2,0.16,0.59,0.48
80,2026-08-09,sell,64870.1,64202.5,64202.5,1.03,止盈(反),60,多,箱体边缘,0.29,正常,1.11,-0.27,4.06,2.39,27.5,1.4,0.08,0.77,2.63
81,2026-08-12,buy,64202.5,63347.7,63347.7,-1.33,止损(反),3,空·反,震荡中轴,0.23,正常,0.5,3.23,0.15,0.9,21.4,-2.6,0.22,1.35,0.41
82,2026-08-12,sell,63347.7,63228.3,63228.3,0.19,止盈(反),98,空,突破下沿,0.76,过度,1.7,-1.38,1.24,3.15,21.5,-0.5,0.68,1.03,1.33
83,2026-08-16,buy,63228.3,62900.0,62900.0,-0.52,止损(反),5,空·反,箱体边缘,1.04,过度,1.63,2.36,0.69,6.55,18.8,0.2,0.86,0.84,0.21
84,2026-08-16,sell,62900.0,63377.9,63377.9,-0.76,止损(反),5,空,震荡中轴,0.93,正常,1.23,-0.55,2.23,2.81,22.5,3.7,0.23,0.92,0.34
85,2026-08-17,buy,63377.9,76071.4,76071.4,20.03,止盈(反),147,空·反,突破上沿,0.89,过度,1.55,1.56,0.99,3.61,21.6,-0.9,0.07,0.59,25.6
86,2026-08-23,sell,76071.4,77826.0,77826.0,-2.31,止损(反),16,多,箱体边缘,0.16,正常,1.12,-2.47,0.45,5.32,17.3,0.9,0.32,2.61,0.73
87,2026-08-23,buy,77826.0,78162.8,78162.8,0.43,止盈(反),47,多,震荡中轴,0.51,正常,1.0,2.86,0.35,1.41,13.2,-2.0,0.11,1.49,4.42
88,2026-08-25,sell,78162.8,79720.0,79720.0,-1.99,止损(反),36,多,震荡中轴,0.64,正常,1.1,-2.62,0.42,0.76,22.1,-0.2,0.17,2.35,0.78
89,2026-08-27,buy,79720.0,79258.2,79258.2,-0.58,止损(反),25,多,突破上沿,0.22,正常,1.47,2.83,0.52,3.47,17.5,-1.8,0.38,1.09,2.26
90,2026-08-28,sell,79258.2,78756.2,78756.2,0.63,止盈(反),51,多,震荡中轴,0.14,正常,0.52,-1.98,0.26,0.83,22.5,-4.1,0.24,0.76,3.04
91,2026-08-30,buy,78756.2,77640.2,77640.2,-1.42,止损(反),11,多,震荡中轴,1.46,过度,2.62,2.61,1.0,6.39,14.1,-1.1,1.94,2.34,0.8
92,2026-08-30,sell,77640.2,79140.1,79140.1,-1.93,止损(反),30,多·回,箱体边缘,1.03,过度,1.51,-0.99,1.52,3.96,26.0,-0.2,0.55,2.06,0.93
93,2026-09-01,buy,79140.1,77560.4,77560.4,-2.0,止损(反),11,多,突破上沿,0.12,正常,1.03,0.64,1.6,1.32,14.2,-1.3,0.23,2.36,0.06
94,2026-09-01,sell,77560.4,77900.1,77900.1,-0.44,止损(反),43,多·回,箱体边缘,0.19,正常,0.68,-2.39,0.28,1.78,16.7,2.8,0.16,0.76,1.75
95,2026-09-03,buy,77900.1,79420.0,79420.0,1.95,止盈(反),25,空·反,箱体边缘,0.01,正常,0.48,1.48,0.33,1.08,14.0,-4.5,0.32,0.29,5.62
