time,dir,entry,bars_since_last_flip,ATR_percent,range_position,candle_range_ATR,pass_vol,pass_candle,keep,live_pnl_U
2026-07-08 03:00,sell,62741.0,36,0.78,0.423,0.84,True,True,True,9.51
2026-07-09 17:00,buy,63110.9,38,0.69,0.601,1.14,True,True,True,12.87
2026-07-11 23:00,sell,63780.1,54,0.35,0.505,2.02,True,True,True,-10.50
2026-07-14 12:00,buy,63940.2,61,0.59,0.824,3.24,True,False,False,
2026-07-16 07:00,sell,64210.1,43,0.54,0.559,2.01,True,True,True,11.61
2026-07-17 17:00,buy,64018.1,34,0.64,0.577,1.58,True,True,True,3.17
2026-07-20 05:00,sell,64098.8,60,0.51,0.158,1.53,True,True,True,-13.06
2026-07-20 11:00,buy,64970.8,6,0.61,0.914,2.06,True,True,True,13.09
2026-07-22 12:00,sell,65606.7,49,0.44,0.542,1.67,True,True,True,9.51
2026-07-26 00:00,buy,64477.4,84,0.20,0.374,1.23,True,True,True,11.13
2026-07-27 14:00,sell,64660.1,38,0.58,0.345,2.62,True,True,True,11.92
2026-07-29 06:00,buy,64400.3,40,0.54,0.570,1.30,True,True,True,-14.25
2026-07-29 20:00,sell,63483.2,14,0.80,0.349,0.74,False,True,False,
2026-08-02 02:00,buy,63419.5,78,0.35,0.532,2.80,True,True,True,-7.56
2026-08-03 03:00,sell,62838.6,25,0.41,0.394,1.56,True,True,True,-6.53
2026-08-03 13:00,buy,63321.8,10,0.51,0.705,2.59,True,True,True,13.56
2026-08-09 03:00,sell,64753.8,134,0.15,0.516,1.14,True,True,True,-5.07
2026-08-09 13:00,buy,65188.7,10,0.16,0.926,3.05,True,False,False,
2026-08-09 23:00,sell,64870.1,10,0.24,0.232,1.86,True,True,True,12.80
2026-08-12 11:00,buy,64202.5,60,0.31,0.506,0.71,True,True,True,-11.08
2026-08-12 14:00,sell,63347.7,3,0.43,0.121,2.09,True,True,True,2.12
2026-08-16 16:00,buy,63228.3,98,0.12,0.776,3.50,True,False,False,
2026-08-16 21:00,sell,62900.0,5,0.19,0.301,3.05,True,False,False,
2026-08-17 02:00,buy,63377.9,5,0.31,0.875,2.43,True,True,True,21.45
2026-08-23 05:00,sell,76071.4,147,0.65,0.221,2.54,True,True,True,-21.11
2026-08-23 21:00,buy,77826.0,16,0.57,0.699,1.51,True,True,True,9.49
2026-08-25 20:00,sell,78162.8,47,0.85,0.326,1.23,False,True,False,
2026-08-27 08:00,buy,79720.0,36,0.58,0.886,2.16,True,True,True,9.49
2026-08-28 09:00,sell,79258.2,25,0.56,0.430,0.62,True,True,True,12.72
2026-08-30 12:00,buy,78756.2,51,0.30,0.634,2.89,True,True,True,-8.60
2026-08-30 23:00,sell,77640.2,11,0.64,0.293,3.02,True,False,False,
2026-09-01 05:00,buy,79140.1,30,0.54,0.900,1.13,True,True,True,-19.79
2026-09-01 16:00,sell,77560.4,11,0.61,0.269,1.41,True,True,True,9.51
2026-09-03 11:00,buy,77900.1,43,0.52,0.777,0.76,True,True,True,17.06
2026-09-04 12:00,sell,79420.0,25,0.80,0.499,3.45,False,False,False,
2026-09-06 23:00,buy,80300.1,59,0.35,0.825,2.07,True,True,True,-11.97
2026-09-07 07:00,sell,79357.9,8,0.44,0.269,2.09,True,True,True,9.95
2026-09-09 07:00,buy,79247.4,48,0.45,0.821,0.68,True,True,True,-12.27
2026-09-09 19:00,sell,78196.3,12,0.63,0.287,0.87,True,True,True,11.00
2026-09-11 12:00,buy,77990.1,41,0.67,0.561,4.38,True,False,False,
2026-09-13 08:00,sell,76773.3,44,0.22,0.226,2.71,True,True,True,-6.66
2026-09-13 16:00,buy,77251.1,8,0.30,0.546,0.99,True,True,True,-7.42
2026-09-13 22:00,sell,76679.3,6,0.32,0.231,2.67,True,True,True,-10.95
2026-09-14 02:00,buy,77573.7,4,0.46,0.916,1.98,True,True,True,10.74
2026-09-15 01:00,sell,77876.1,23,0.54,0.478,0.82,True,True,True,13.34
2026-09-18 02:00,buy,76937.6,73,0.44,0.907,1.16,True,True,True,24.53
2026-09-20 02:00,sell,80312.1,48,0.43,0.676,2.68,True,True,True,-12.34
2026-09-20 16:00,buy,81307.5,14,0.42,0.660,2.13,True,True,True,27.19
