time,signal,close,st_distance_atr,body_atr,close_position,ATR_pct,ER20,ADX14,range_atr,break_high20,break_distance_atr,bars_since_flip,trend_age,MA30_slope,future_MFE_10,future_MFE_20,future_MAE_20,future_return_20,success_label,RSI14,volume,vol_ratio,htf_dir,align,squeeze,bbw_rank,reverse_signal_price,exit_result,pnl_pct
2024-12-26 09:00:00,-1,95439.5,2.6756,0.561,0.0658,0.8142,0.4018,23.81,0.7472,99968.9,-5.8291,42,0,-0.1113,0.3347,0.3347,1.5156,-0.8493,0,27.12,690.71,2.419,1,0,0,71.0,94418.5,TP,1.07
2024-12-30 19:00:00,1,94418.5,-2.8108,0.1951,0.7165,0.8768,0.0939,30.28,0.8742,94692.1,-0.3305,106,0,-0.0206,0.7522,2.223,3.0422,1.0584,1,57.33,422.79,0.996,-1,0,0,77.0,92794.2,SL,-1.72
2024-12-30 22:00:00,-1,92794.2,3.3117,0.7236,0.7734,1.0791,0.1141,28.3,1.1404,95041.2,-2.2441,3,0,-0.0368,0.763,0.763,3.4602,-1.1607,0,44.32,355.44,0.794,-1,1,0,82.0,95676.3,SL,-3.106
2024-12-31 14:00:00,1,95676.3,-3.1909,0.117,0.3287,0.8139,0.1577,26.76,1.1145,96075.6,-0.5128,16,0,0.0784,0.413,0.413,3.5805,-2.4548,0,71.51,537.43,1.425,-1,0,0,100.0,93585.1,SL,-2.186
2024-12-31 23:00:00,-1,93585.1,3.017,0.1356,0.5329,0.7965,0.1573,18.38,0.5164,96258.9,-3.5871,9,0,-0.0109,0.9352,0.9352,1.7058,-1.1164,0,46.96,125.38,0.368,-1,1,0,82.0,94803.4,SL,-1.302
2025-01-01 22:00:00,1,94803.4,-3.0787,0.3374,0.3721,0.534,0.1892,16.73,0.6153,95192.1,-0.7678,23,0,-0.004,2.801,5.6328,0.8158,2.6459,1,60.44,87.03,0.533,-1,0,0,43.0,97942.8,TP,3.311
2025-01-07 15:00:00,-1,97942.8,2.14,2.5835,0.2765,0.8109,0.5918,31.95,3.8483,102750.0,-6.0527,137,0,-0.0444,2.2238,4.2983,0.5155,2.8612,1,22.03,2947.68,7.935,1,0,0,86.0,95065.4,TP,2.938
2025-01-10 11:00:00,1,95065.4,-2.7644,0.2048,0.7344,0.7201,0.1263,26.56,1.0053,95264.4,-0.2907,68,0,0.0289,1.1506,1.1506,4.1535,-0.8539,0,62.91,670.63,2.16,-1,0,0,71.0,94549.9,SL,-0.542
2025-01-12 23:00:00,-1,94549.9,3.7042,1.4057,0.9738,0.4367,0.0209,15.64,1.4864,95465.0,-2.2164,60,0,0.0319,4.6016,13.173,3.3843,2.3756,1,50.2,126.62,1.299,-1,1,0,34.0,94221.8,TP,0.347
2025-01-13 01:00:00,1,94221.8,-3.8716,1.8293,0.1039,0.6384,0.0623,16.45,2.2006,95947.2,-2.8682,2,0,-0.0013,1.1607,1.1607,8.496,-0.022,0,45.83,430.77,3.043,-1,0,0,38.0,93048.1,SL,-1.246
2025-01-13 08:00:00,-1,93048.1,2.6349,0.856,0.1914,0.6836,0.2043,14.7,1.1834,95947.2,-4.5578,7,0,-0.0827,6.1897,6.1897,3.5301,-2.2341,0,34.14,254.39,1.438,-1,1,0,59.0,94201.1,SL,-1.239
2025-01-13 21:00:00,1,94201.1,-2.7664,0.5504,0.7457,1.199,0.0023,25.57,0.9511,95408.0,-1.0685,13,0,-0.0258,1.1433,2.818,0.0475,2.4717,1,59.76,434.02,0.664,-1,0,0,91.0,99299.9,TP,5.413
