time,signal,close,st_distance_atr,body_atr,close_position,ATR_pct,ER20,ADX14,range_atr,break_high20,break_distance_atr,bars_since_flip,trend_age,MA30_slope,future_MFE_10,future_MFE_20,future_MAE_20,future_return_20,success_label,RSI14,volume,vol_ratio,htf_dir,align,squeeze,bbw_rank,reverse_signal_price,exit_result,pnl_pct
2026-01-05 00:00:00,1,91891.9,-2.6011,1.6864,0.6473,0.229,0.4771,23.16,2.708,91588.0,1.444,45,0,0.0933,7.2206,7.2206,0.8591,0.8235,1,71.82,245.09,9.013,1,1,0,78.0,93273.6,TP,1.504
2026-01-06 07:30:00,-1,93273.6,2.7404,0.7056,0.2762,0.192,0.2032,12.68,1.1601,93999.0,-4.0496,126,0,-0.0843,0.7458,0.7458,4.01,-0.59,0,33.55,80.32,2.182,1,0,0,27.0,93838.4,SL,-0.606
2026-01-06 11:15:00,1,93838.4,-2.5638,0.31,0.9898,0.1764,0.0459,13.87,0.8906,93942.6,-0.6296,15,0,0.0141,0.9275,3.6748,6.273,-1.0601,0,62.02,27.09,0.355,1,1,0,48.0,93648.1,SL,-0.203
2026-01-06 15:45:00,-1,93648.1,3.4649,0.4903,1.0,0.3474,0.0229,17.4,0.9299,94446.6,-2.4546,18,0,0.0327,7.2867,7.2867,0.3707,1.21,1,46.8,97.57,1.221,1,0,1,28.0,93622.1,TP,0.028
2026-01-06 21:30:00,1,93622.1,-3.0016,0.2737,0.4979,0.4089,0.2698,27.64,0.7559,93853.5,-0.6044,23,0,-0.042,0.4388,0.4388,3.5877,-0.7458,0,65.11,57.72,0.629,-1,0,0,86.0,92797.1,SL,-0.881
2026-01-07 01:00:00,-1,92797.1,3.0165,0.3062,0.5273,0.3206,0.0924,21.98,0.6036,93853.5,-3.5505,14,0,0.0628,1.8438,1.8438,1.0688,0.1278,1,44.16,74.74,1.285,1,0,0,67.0,90431.3,TP,2.549
2026-01-08 08:30:00,1,90431.3,-3.5971,1.0165,0.1205,0.2887,0.1237,23.8,1.5734,91182.9,-2.8787,126,0,-0.1276,0.2172,0.2172,2.5297,-0.4451,0,43.24,65.84,0.777,-1,0,0,82.0,89949.9,SL,-0.532
2026-01-08 12:15:00,-1,89949.9,3.1298,0.2604,0.6298,0.2946,0.1082,26.84,1.0,90792.6,-3.1802,15,0,-0.1347,2.3477,2.3477,4.8987,-1.0108,0,40.8,74.72,0.786,-1,1,0,46.0,90466.9,SL,-0.575
2026-01-08 15:30:00,1,90466.9,-3.0456,0.3248,0.4584,0.406,0.0974,25.59,1.0953,90642.7,-0.4787,13,0,-0.0132,2.7238,2.7238,0.5127,0.3604,1,56.92,54.15,0.741,-1,0,0,69.0,90683.9,TP,0.24
2026-01-09 08:00:00,-1,90683.9,3.1259,0.415,0.5615,0.1839,0.2852,16.14,2.046,91265.3,-3.4864,66,0,-0.1074,5.9,5.9,1.0026,0.0507,1,36.24,123.81,4.34,-1,1,1,8.0,91231.6,SL,-0.604
