idx,date,type,score,blocked,status,confirmed,m1,m2,m3,pen,entry,tp1,sl,exit,reason,pnl_pct,pnl_u,bars
64,2026-07-11,sell,35.0,Y,拦截,N,40.0,5.0,0.0,-10.0,63780.1,62823.4,65055.7,,评分拦截,,,
65,2026-07-14,buy,45.0,Y,拦截,N,40.0,15.0,0.0,-10.0,63940.2,64899.3,62661.4,,评分拦截,,,
66,2026-07-16,sell,45.0,Y,拦截,N,40.0,15.0,0.0,-10.0,64210.1,63246.9,65494.3,,评分拦截,,,
67,2026-07-17,buy,40.0,N,等待确认,Y,25.0,25.0,0.0,-10.0,64018.1,64978.4,62737.7,64285.4,评分确认·止损,0.42,3.67,43
68,2026-07-20,sell,45.0,N,等待确认,Y,40.0,5.0,0.0,0.0,64098.8,63137.3,65380.8,64871.4,评分确认·止损,-1.21,-12.56,6
69,2026-07-20,buy,15.0,Y,拦截,N,25.0,0.0,0.0,-10.0,64970.8,65945.4,63671.4,,评分拦截,,,
70,2026-07-22,sell,75.0,Y,拦截,N,40.0,25.0,20.0,-10.0,65606.7,64622.6,66918.8,,评分拦截,,,
71,2026-07-26,buy,75.0,Y,拦截,N,40.0,25.0,20.0,-10.0,64477.4,65444.6,63187.9,,评分拦截,,,
72,2026-07-27,sell,20.0,Y,拦截,N,25.0,5.0,0.0,-10.0,64660.1,63690.2,65953.3,,评分拦截,,,
73,2026-07-29,buy,55.0,Y,拦截,Y,40.0,25.0,0.0,-10.0,64400.3,65366.3,63112.3,,评分拦截,,,
74,2026-07-29,sell,28.0,Y,拦截,N,25.0,15.0,8.0,-20.0,63483.2,62531.0,64752.9,,评分拦截,,,
75,2026-08-02,buy,55.0,Y,拦截,N,40.0,5.0,20.0,-10.0,63419.5,64370.8,62151.1,,评分拦截,,,
76,2026-08-03,sell,38.0,Y,拦截,N,40.0,0.0,8.0,-10.0,62838.6,61896.0,64095.4,,评分拦截,,,
