idx,date,type,score,blocked,filt,confirmed,m1,m2,m3,m4,pen,tp1_hit,entry,tp1,sl,exit,reason,outcome,pnl_pct,pnl_u,bars
51,2026-06-20,buy,18.0,Y,拦截,N,0.0,5.0,8.0,20.0,-15.0,True,63547.9,64501.1,62276.9,64251.2,若成交·保本止损,TP1,1.11,10.56,43
52,2026-06-21,sell,65.0,N,放行,N,30.0,25.0,25.0,0.0,-15.0,False,63278.9,62329.7,64544.5,64426.1,止损,止损,-1.81,-18.64,2
53,2026-06-22,buy,63.0,N,放行,N,0.0,25.0,18.0,20.0,0.0,True,64570.1,65538.7,63278.7,65248.1,保本止损,TP1,1.05,9.99,15
54,2026-06-23,sell,70.0,N,放行,Y,30.0,25.0,15.0,0.0,0.0,True,63597.9,62643.9,64869.9,62272.3,保本止损,TP1,2.08,20.35,49
55,2026-06-25,buy,35.0,Y,拦截,N,0.0,0.0,25.0,10.0,0.0,False,61560.3,62483.7,60329.1,60420.1,若成交·止损,止损,-1.85,-19.01,8
56,2026-06-25,sell,85.0,N,放行,N,30.0,25.0,25.0,20.0,-15.0,False,58258.6,57384.7,59423.8,60377.5,止损,止损,-3.64,-36.89,95
57,2026-06-29,buy,23.0,Y,拦截,N,0.0,5.0,18.0,0.0,0.0,False,60388.7,61294.5,59180.9,58968.6,若成交·止损,止损,-2.35,-24.0,19
58,2026-06-30,sell,85.0,N,放行,N,30.0,25.0,25.0,20.0,-15.0,False,58374.4,57498.8,59541.9,59580.3,止损,止损,-2.07,-21.17,26
59,2026-07-01,buy,55.0,N,放行,N,0.0,25.0,25.0,20.0,-15.0,True,60123.2,61025.0,58920.7,60754.5,保本止损,TP1,1.05,9.99,8
60,2026-07-06,sell,23.0,Y,拦截,N,0.0,5.0,18.0,0.0,0.0,True,62643.0,61703.4,63895.9,61985.2,若成交·保本止损,TP1,1.05,10.01,6
61,2026-07-06,buy,45.0,N,放行,Y,30.0,5.0,10.0,0.0,0.0,True,63519.9,64472.7,62249.5,64186.9,保本止损,TP1,1.05,9.99,11
62,2026-07-08,sell,5.0,Y,拦截,N,0.0,5.0,15.0,0.0,-15.0,True,62741.0,61799.9,63995.8,62082.2,若成交·保本止损,TP1,1.05,10.01,27
63,2026-07-09,buy,43.0,N,放行,Y,30.0,5.0,8.0,0.0,0.0,True,63110.9,64057.6,61848.7,63986.4,保本止损,TP1,1.39,13.37,54
64,2026-07-11,sell,43.0,N,放行,N,0.0,25.0,18.0,0.0,0.0,False,63780.1,62823.4,65055.7,64386.0,止损,止损,-0.95,-10.0,25
65,2026-07-14,buy,75.0,N,放行,N,30.0,25.0,25.0,10.0,-15.0,True,63940.2,64899.3,62661.4,64697.7,保本止损,TP1,1.18,11.34,43
66,2026-07-16,sell,63.0,N,放行,N,0.0,25.0,18.0,20.0,0.0,True,64210.1,63246.9,65494.3,63401.1,保本止损,TP1,1.26,12.11,34
67,2026-07-17,buy,40.0,N,放行,Y,0.0,5.0,25.0,10.0,0.0,False,64018.1,64978.4,62737.7,64285.4,止损,止损,0.42,3.67,43
68,2026-07-20,sell,93.0,N,放行,Y,30.0,25.0,18.0,20.0,0.0,False,64098.8,63137.3,65380.8,64871.4,止损,止损,-1.21,-12.56,6
69,2026-07-20,buy,45.0,N,放行,N,30.0,5.0,10.0,0.0,0.0,True,64970.8,65945.4,63671.4,65886.8,保本止损,TP1,1.41,13.59,44
70,2026-07-22,sell,70.0,N,放行,N,0.0,25.0,25.0,20.0,0.0,True,65606.7,64622.6,66918.8,64917.8,保本止损,TP1,1.05,10.01,43
71,2026-07-26,buy,53.0,N,放行,N,0.0,25.0,8.0,20.0,0.0,True,64477.4,65444.6,63187.9,65260.0,保本止损,TP1,1.21,11.63,36
72,2026-07-27,sell,53.0,N,放行,N,30.0,5.0,18.0,0.0,0.0,True,64660.1,63690.2,65953.3,63824.8,保本止损,TP1,1.29,12.42,34
73,2026-07-29,buy,63.0,N,放行,Y,0.0,25.0,18.0,20.0,0.0,False,64400.3,65366.3,63112.3,63546.4,止损,止损,-1.33,-13.75,13
74,2026-07-29,sell,60.0,N,放行,N,30.0,5.0,15.0,10.0,0.0,False,63483.2,62531.0,64752.9,65020.9,止损,止损,-2.42,-24.73,17
75,2026-08-02,buy,48.0,N,放行,N,0.0,25.0,18.0,20.0,-15.0,False,63419.5,64370.8,62151.1,63003.1,止损,止损,-0.66,-7.06,25
76,2026-08-03,sell,85.0,N,放行,N,30.0,25.0,10.0,20.0,0.0,False,62838.6,61896.0,64095.4,63186.2,止损,止损,-0.55,-6.03,10
77,2026-08-03,buy,10.0,N,确认,Y,0.0,0.0,10.0,0.0,0.0,True,63321.8,64271.6,62055.4,64244.2,确认·保本止损,TP1,1.46,14.06,72
78,2026-08-09,sell,35.0,Y,拦截,N,0.0,5.0,10.0,20.0,0.0,False,64753.8,63782.5,66048.9,65017.4,若成交·止损,止损,-0.41,-4.57,10
79,2026-08-09,buy,78.0,N,放行,Y,30.0,25.0,18.0,20.0,-15.0,False,65188.7,66166.5,63884.9,64914.8,止损,止损,-0.42,-4.7,10
80,2026-08-09,sell,20.0,Y,拦截,N,0.0,0.0,10.0,10.0,0.0,True,64870.1,63897.0,66167.5,63975.0,若成交·保本止损,TP1,1.38,13.3,59
81,2026-08-12,buy,33.0,Y,拦截,N,0.0,15.0,8.0,10.0,0.0,False,64202.5,65165.5,62918.4,63555.0,若成交·止损,止损,-1.01,-10.58,3
82,2026-08-12,sell,53.0,N,放行,N,30.0,5.0,18.0,0.0,0.0,False,63347.7,62397.5,64614.7,63150.4,止损,止损,0.31,2.62,98
83,2026-08-16,buy,40.0,N,放行,N,0.0,25.0,10.0,20.0,-15.0,False,63228.3,64176.7,61963.7,63009.3,止损,止损,-0.35,-3.96,4
84,2026-08-16,sell,65.0,N,放行,N,30.0,25.0,10.0,0.0,0.0,False,62900.0,61956.5,64158.0,63203.3,止损,止损,-0.48,-5.33,4
85,2026-08-17,buy,55.0,N,放行,N,0.0,25.0,10.0,20.0,0.0,True,63377.9,64328.6,62110.3,67875.0,保本止损,TP1,7.1,70.42,147
86,2026-08-23,sell,70.0,N,放行,N,0.0,25.0,25.0,20.0,0.0,False,76071.4,74930.3,77592.8,77600.8,止损,止损,-2.01,-20.61,8
87,2026-08-23,buy,90.0,N,放行,N,30.0,25.0,25.0,10.0,0.0,True,77826.0,78993.4,76269.5,78643.2,保本止损,TP1,1.05,9.99,16
88,2026-08-25,sell,30.0,Y,拦截,N,0.0,5.0,25.0,0.0,0.0,False,78162.8,76990.4,79726.1,79619.6,若成交·止损,止损,-1.86,-19.15,36
89,2026-08-27,buy,100.0,N,放行,N,30.0,25.0,25.0,20.0,0.0,True,79720.0,80915.8,78125.6,80557.1,保本止损,TP1,1.05,9.99,18
90,2026-08-28,sell,13.0,Y,拦截,N,0.0,5.0,8.0,0.0,0.0,True,79258.2,78069.3,80843.4,78171.6,若成交·保本止损,TP1,1.37,13.22,51
91,2026-08-30,buy,78.0,N,放行,N,30.0,25.0,18.0,20.0,-15.0,False,78756.2,79937.5,77181.1,78157.0,止损,止损,-0.76,-8.1,11
92,2026-08-30,sell,43.0,N,放行,N,0.0,25.0,18.0,0.0,0.0,False,77640.2,76475.6,79193.0,79086.7,止损,止损,-1.86,-19.14,19
93,2026-09-01,buy,45.0,N,放行,N,30.0,5.0,10.0,0.0,0.0,False,79140.1,80327.2,77557.3,77652.2,止损,止损,-1.88,-19.29,8
94,2026-09-01,sell,40.0,N,放行,Y,0.0,5.0,25.0,10.0,0.0,True,77560.4,76397.0,79111.6,76746.0,保本止损,TP1,1.05,10.01,7
95,2026-09-03,buy,48.0,N,放行,Y,15.0,5.0,8.0,20.0,0.0,True,77900.1,79068.6,76342.1,79307.4,保本止损,TP1,1.81,17.56,25
